"mu1" "mu2" "epsilon1.V1" "epsilon1.V2" "epsilon2.V1" "epsilon2.V2" "pi1" "pi2"
"V1" 0.0275228518548426 -0.0335159878899036 0.994104398261611 0.00364803744540276 0.898525421538987 -0.0229292903407687 0.516 0.484
"V2" 2.00367383605226 -0.901362497141943 0.00364803744540276 0.943428380046196 -0.0229292903407687 0.816748610902029 0.516 0.484
