"mu1" "mu2" "epsilon1.V1" "epsilon1.V2" "epsilon2.V1" "epsilon2.V2" "pi1" "pi2"
"V1" 0.168409043728091 -0.187278649610426 0.892376999435907 0.0707699488881744 0.900423099399334 0.0694817968031079 0.46 0.54
"V2" 2.05997417866721 -1.06358608364965 0.0707699488881744 0.887005254579924 0.0694817968031079 0.611896906433469 0.46 0.54
