"mu1" "mu2" "epsilon1.V1" "epsilon1.V2" "epsilon2.V1" "epsilon2.V2" "pi1" "pi2"
"V1" -0.0839864896405132 -0.0384867621664914 1.02977969193512 0.0537248197016022 0.977002942197556 -0.0187744245369329 0.481 0.519
"V2" 1.98475709560076 -1.01335893920835 0.0537248197016022 1.01580163549368 -0.0187744245369329 0.954602302949123 0.481 0.519
