"mu1" "mu2" "epsilon1.V1" "epsilon1.V2" "epsilon2.V1" "epsilon2.V2" "pi1" "pi2"
"V1" -0.0724036080707961 -0.0979532308639798 1.0692343676351 -0.0531558977949069 5.21695334691095 0.114330031880111 0.486 0.514
"V2" 2.94471105244062 -5.10133093264497 -0.0531558977949069 1.06883460269951 0.114330031880111 5.16915356341303 0.486 0.514
